Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
The Shawshank Redemption,(1994),142 min,9.3,82        ,"2,779,283",$28.34M,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
The Godfather,(1972),175 min,9.2,100        ,"1,935,010",$134.97M,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
The Dark Knight,(2008),152 min,9.0,84        ,"2,756,649",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
Schindler's List,(1993),195 min,9.0,95        ,"1,398,729",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
12 Angry Men,(1957),96 min,9.0,97        ,"824,893",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
The Lord of the Rings: The Return of the King,(2003),201 min,9.0,94        ,"1,905,279",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
The Godfather Part II,(1974),202 min,9.0,90        ,"1,315,408",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
Spider-Man: Across the Spider-Verse,(2023),140 min,8.9,86        ,"199,994",#15,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
Pulp Fiction,(1994),154 min,8.9,95        ,"2,132,593",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Inception,(2010),148 min,8.8,74        ,"2,447,225",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
Fight Club,(1999),139 min,8.8,67        ,"2,214,835",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        ,"1,933,482",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Forrest Gump,(1994),142 min,8.8,82        ,"2,161,661",$330.25M,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
"The Good, the Bad and the Ugly",(1966),178 min,8.8,90        ,"784,692",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
The Lord of the Rings: The Two Towers,(2002),179 min,8.8,87        ,"1,719,298",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
Jai Bhim,(2021),164 min,8.8,0,"208,846",#219,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
777 Charlie,(2022),164 min,8.8,0,"35,919",0,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.
Oppenheimer,(2023),180 min,8.7,88        ,"293,742",#30,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb."
Interstellar,(2014),169 min,8.7,74        ,"1,959,457",$188.02M,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
Goodfellas,(1990),145 min,8.7,92        ,"1,205,926",$46.84M,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
One Flew Over the Cuckoo's Nest,(1975),133 min,8.7,84        ,"1,037,751",$112.00M,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
The Matrix,(1999),136 min,8.7,73        ,"1,977,769",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
Star Wars: Episode V - The Empire Strikes Back,(1980),124 min,8.7,82        ,"1,334,031",$290.48M,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
Rocketry: The Nambi Effect,(2022),157 min,8.7,0,"54,557",0,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him."
Soorarai Pottru,(2020),153 min,8.7,0,"120,240",0,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
Se7en,(1995),127 min,8.6,65        ,"1,719,691",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
Saving Private Ryan,(1998),169 min,8.6,91        ,"1,439,622",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
The Silence of the Lambs,(1991),118 min,8.6,86        ,"1,482,876",$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
Terminator 2: Judgment Day,(1991),137 min,8.6,75        ,"1,134,776",$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
The Green Mile,(1999),189 min,8.6,61        ,"1,350,904",$136.80M,"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution."
Star Wars: Episode IV - A New Hope,(1977),121 min,8.6,90        ,"1,406,051",$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
City of God,(2002),130 min,8.6,79        ,"777,461",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
Spirited Away,(2001),125 min,8.6,96        ,"802,180",$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
Life Is Beautiful,(1997),116 min,8.6,59        ,"717,933",$57.60M,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
Seven Samurai,(1954),207 min,8.6,98        ,"355,977",$0.27M,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
It's a Wonderful Life,(1946),130 min,8.6,89        ,"476,388",#21,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
Harakiri,(1962),133 min,8.6,85        ,"62,685",#47,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
Sita Ramam,(2022),163 min,8.6,0,"61,826",0,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
The Prestige,(2006),130 min,8.5,66        ,"1,383,882",$53.09M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
Back to the Future,(1985),116 min,8.5,87        ,"1,254,357",$210.61M,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
Parasite,(2019),132 min,8.5,96        ,"875,228",$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Gladiator,(2000),155 min,8.5,67        ,"1,551,595",$187.71M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
The Departed,(2006),151 min,8.5,85        ,"1,370,826",$132.38M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Alien,(1979),117 min,8.5,89        ,"912,867",$78.90M,The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.
Whiplash,(2014),106 min,8.5,89        ,"921,690",$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
Léon: The Professional,(1994),110 min,8.5,64        ,"1,201,535",$19.50M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
The Pianist,(2002),150 min,8.5,85        ,"868,867",$32.57M,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
The Usual Suspects,(1995),106 min,8.5,77        ,"1,113,157",$23.34M,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
The Lion King,(1994),88 min,8.5,88        ,"1,097,988",$422.78M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
American History X,(1998),119 min,8.5,62        ,"1,152,287",$6.72M,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
Grave of the Fireflies,(1988),89 min,8.5,94        ,"292,156",#46,A young boy and his little sister struggle to survive in Japan during World War II.
The Intouchables,(2011),112 min,8.5,57        ,"891,390",$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
Psycho,(1960),109 min,8.5,97        ,"694,241",$32.00M,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
Casablanca,(1942),102 min,8.5,100        ,"588,776",$1.02M,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
Once Upon a Time in the West,(1968),165 min,8.5,82        ,"339,912",$5.32M,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
Rear Window,(1954),112 min,8.5,100        ,"506,126",$36.76M,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
Cinema Paradiso,(1988),155 min,8.5,80        ,"271,693",$11.99M,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
City Lights,(1931),87 min,8.5,99        ,"190,264",$0.02M,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
Modern Times,(1936),87 min,8.5,96        ,"250,891",$0.16M,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
96,(II) (2018),158 min,8.5,0,"33,674",0,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
Memento,(2000),113 min,8.4,83        ,"1,278,100",$25.54M,A man with short-term memory loss attempts to track down his wife's murderer.
The Dark Knight Rises,(2012),164 min,8.4,78        ,"1,763,047",$448.14M,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
Spider-Man: Into the Spider-Verse,(2018),117 min,8.4,87        ,"616,458",$190.24M,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
Indiana Jones and the Raiders of the Lost Ark,(1981),115 min,8.4,85        ,"1,007,304",$248.16M,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
Django Unchained,(2012),165 min,8.4,81        ,"1,621,255",$162.81M,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
Joker,(I) (2019),122 min,8.4,59        ,"1,382,835",$335.45M,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution."
Avengers: Endgame,(2019),181 min,8.4,78        ,"1,202,152",$858.37M,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
The Shining,(1980),146 min,8.4,66        ,"1,061,340",$44.02M,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
Aliens,(1986),137 min,8.4,84        ,"739,078",$85.16M,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
Oldboy,(2003),120 min,8.4,77        ,"604,039",$0.71M,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
Avengers: Infinity War,(2018),149 min,8.4,68        ,"1,143,944",$678.82M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Apocalypse Now,(1979),147 min,8.4,94        ,"688,049",$83.47M,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
Amadeus,(1984),160 min,8.4,87        ,"413,844",$51.97M,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
Come and See,(1985),142 min,8.4,0,"88,422",#91,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),95 min,8.4,97        ,"504,164",$0.28M,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
The Lives of Others,(2006),137 min,8.4,89        ,"399,454",$11.29M,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
Your Name.,(2016),106 min,8.4,81        ,"294,358",$5.02M,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
Coco,(I) (2017),105 min,8.4,81        ,"547,040",$209.73M,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
WALL·E,(2008),98 min,8.4,95        ,"1,156,385",$223.81M,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
Capernaum,(2018),126 min,8.4,75        ,"97,489",$1.66M,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
3 Idiots,(2009),170 min,8.4,67        ,"415,260",$6.53M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
Das Boot,(1981),149 min,8.4,86        ,"257,589",$11.49M,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
Paths of Glory,(1957),88 min,8.4,90        ,"204,509",#62,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
Sunset Blvd.,(1950),110 min,8.4,94        ,"229,109",#61,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
Witness for the Prosecution,(1957),116 min,8.4,76        ,"131,312",$8.18M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
The Great Dictator,(1940),125 min,8.4,0,"230,695",$0.29M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
High and Low,(1963),143 min,8.4,90        ,"48,964",#87,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
Kaithi,(2019),145 min,8.4,0,"36,981",0,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
Sardar Udham,(2021),164 min,8.4,0,"44,737",0,"A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre."
Asuran,(2019),141 min,8.4,0,"31,647",0,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story."
Drishyam 2,(2021),152 min,8.4,0,"39,404",0,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
